year,avg_temp
2015,9.83
2014,9.57
2013,9.61
2012,9.51
2011,9.52
2010,9.70
2009,9.51
2008,9.43
2007,9.73
2006,9.53
2005,9.70
2004,9.32
2003,9.53
2002,9.57
2001,9.41
2000,9.20
1999,9.29
1998,9.52
1997,9.20
1996,9.04
1995,9.35
1994,9.04
1993,8.87
1992,8.84
1991,9.18
1990,9.23
1989,8.92
1988,9.20
1987,8.99
1986,8.83
1985,8.66
1984,8.69
1983,9.03
1982,8.64
1981,9.17
1980,8.98
1979,8.73
1978,8.69
1977,8.85
1976,8.35
1975,8.74
1974,8.47
1973,8.95
1972,8.50
1971,8.60
1970,8.70
1969,8.60
1968,8.52
1967,8.70
1966,8.60
1965,8.53
1964,8.41
1963,8.86
1962,8.75
1961,8.80
1960,8.58
1959,8.73
1958,8.77
1957,8.73
1956,8.28
1955,8.63
1954,8.56
1953,8.87
1952,8.64
1951,8.63
1950,8.37
1949,8.59
1948,8.75
1947,8.80
1946,8.68
1945,8.58
1944,8.85
1943,8.76
1942,8.73
1941,8.77
1940,8.76
1939,8.76
1938,8.86
1937,8.70
1936,8.55
1935,8.52
1934,8.63
1933,8.34
1932,8.71
1931,8.72
1930,8.63
1929,8.24
1928,8.63
1927,8.52
1926,8.73
1925,8.53
1924,8.51
1923,8.42
1922,8.41
1921,8.57
1920,8.36
1919,8.38
1918,8.13
1917,8.02
1916,8.23
1915,8.59
1914,8.59
1913,8.30
1912,8.17
1911,8.18
1910,8.22
1909,8.18
1908,8.19
1907,7.95
1906,8.38
